dannel malloy,dannelmalloy
john carney,johncarney
richard scott,richardscott
john deal,johndeal
david ige,davidige
clement otter,clementotter
bruce rauner,brucerauner
eric holcomb,ericholcomb
kimberly reynolds,kimberlyreynolds
samuel brownback,samuelbrownback
matthew bevin,matthewbevin
john edwards,johnedwards
paul lepage,paullepage
lawrence hogan,lawrencehogan
charles baker,charlesbaker
richard snyder,richardsnyder
mark dayton,markdayton
dewey bryant,deweybryant
eric greitens,ericgreitens
stephen bullock,stephenbullock
john ricketts,johnricketts
brian sandoval,briansandoval
christopher sununu,christophersununu
christopher christie,christopherchristie
susana martinez,susanamartinez
andrew cuomo,andrewcuomo
roy cooper,roycooper
douglas burgum,douglasburgum
john kasich,johnkasich
mary fallin,maryfallin
katherine brown,katherinebrown
thomas wolf,thomaswolf
gina raimondo,ginaraimondo
henry mcmaster,henrymcmaster
dennis daugaard,dennisdaugaard
william haslam,williamhaslam
gregory abbott,gregoryabbott
gary herbert,garyherbert
philip scott,philipscott
terry mcauliffe,terrymcauliffe
jay inslee,jayinslee
james justice,jamesjustice
scott walker,scottwalker
matthew mead,matthewmead
steve bannon,stevebannon
roy moore,roymoore
access hollywood,accesshollywood
’s,
“,
”,
—,
|,
(,
),
-, 
$,
*,
:, 
[,
],
;,
&,
–,
?,
\,
/,
1,
2,
3,
4,
5,
6,
7,
8,
9,
0,
%,
